Media Source,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
@BBCNews,Sat Jun 09 12:53:57 +0000 2018,"Serena Williams should be ready for Wimbledon, says her coach https://t.co/wWMQmZEckl",0.3612,0.2,0.8,0.0,62
@BBCNews,Sat Jun 09 12:28:10 +0000 2018,Sofija Kaczan death: Man in court charged with 100-year-old's manslaughter https://t.co/CwjfOCJnPu,-0.6908,0.0,0.612,0.388,63
@BBCNews,Sat Jun 09 12:25:55 +0000 2018,Taliban agree three-day Eid ceasefire in Afghanistan https://t.co/J8edT9yKWI,0.3612,0.263,0.737,0.0,64
@BBCNews,Sat Jun 09 12:25:54 +0000 2018,"Boy, 8, youngest to climb Old Man of Hoy https://t.co/ReLsewDDlx",0.0,0.0,1.0,0.0,65
@BBCNews,Sat Jun 09 12:21:08 +0000 2018,Australia 18-9 Ireland: Tourists' 12-game winning run comes to an end https://t.co/ZYiTjpCWIW,0.5267,0.236,0.764,0.0,66
@BBCNews,Sat Jun 09 12:17:20 +0000 2018,The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's offi… https://t.co/SlJuDPXe7m,0.0,0.0,1.0,0.0,67
@BBCNews,Sat Jun 09 11:59:48 +0000 2018,A 41 gun salute is fired to mark the Queen's official birthday at the Trooping the Colour ceremony in London… https://t.co/JhOinaavAW,-0.7184,0.0,0.75,0.25,68
@BBCNews,Sat Jun 09 11:53:40 +0000 2018,World Cup 2018: Can you name the losing finalists from previous tournaments? https://t.co/RSNuvOYgU3,-0.3818,0.0,0.822,0.178,69
@BBCNews,Sat Jun 09 11:40:02 +0000 2018,RT @bbcweather: Plenty of broken cloud and sunshine for most this afternoon but some sharp showers a nuisance too! Lou L https://t.co/BowtJ…,0.088,0.107,0.802,0.091,70
@BBCNews,Sat Jun 09 11:12:24 +0000 2018,ICYMI: Beauty pageants and Star Wars - burlesque style https://t.co/DAJNwy5PoO,0.0516,0.264,0.486,0.25,71
@BBCNews,Sat Jun 09 11:05:38 +0000 2018,England v South Africa: Heather Knight is dismissed by Marizanne Kapp https://t.co/1H8NOhH2iP,0.0,0.0,1.0,0.0,72
@BBCNews,Sat Jun 09 11:05:36 +0000 2018,Trump and Macron in handshake showdown at G7 summit https://t.co/8Oq87iulUd,0.0,0.0,1.0,0.0,73
@BBCNews,Sat Jun 09 10:56:18 +0000 2018,The Trooping the Colour parade which marks the Queen's official birthday is underway in London. The Queen and Duke… https://t.co/pSKtDyPg6q,0.0,0.0,1.0,0.0,74
@BBCNews,Sat Jun 09 10:42:28 +0000 2018,Five ways Paul Dacre's Daily Mail left its mark on Britain https://t.co/v5yBMpXygv,0.0,0.0,1.0,0.0,75
@BBCNews,Sat Jun 09 10:42:28 +0000 2018,'Bride of Belsen' Gena Turgel dies at 95 https://t.co/k2y5Xyj69h,0.0,0.0,1.0,0.0,76
@BBCNews,Sat Jun 09 10:26:30 +0000 2018,Tyson Fury v Sefer Seferi: An unusual heavyweight weigh-in https://t.co/MH1Nizl9CX,-0.5719,0.0,0.684,0.316,77
@BBCNews,Sat Jun 09 10:12:37 +0000 2018,Trooping the Colour: Meghan and Harry join Queen at parade https://t.co/lVdEeeeUHZ,0.296,0.18,0.82,0.0,78
@BBCNews,Sat Jun 09 09:58:43 +0000 2018,England for the World Cup? SNP delegates on football loyalties https://t.co/9gLG2cOBQi,0.4404,0.225,0.775,0.0,79
@BBCNews,Sat Jun 09 09:11:54 +0000 2018,Game of Thrones: HBO orders spinoff prequel pilot https://t.co/nkuSCMfz1b,0.0,0.0,1.0,0.0,80
@BBCNews,Sat Jun 09 09:10:55 +0000 2018,"RT @BBCWorld: Form is temporary, class is permanent. Which counts more at the World Cup? 
⚽🏃‍♂️ @BBCRealityCheck has crunched the numbers
h…",0.0,0.0,1.0,0.0,81
@BBCNews,Sat Jun 09 07:22:07 +0000 2018,G7 summit dogged by divisions between Trump and allies https://t.co/KIa4SMpuwh,0.0,0.0,1.0,0.0,82
@BBCNews,Sat Jun 09 07:06:06 +0000 2018,'No dogs allowed' - but what about my assistance dog? https://t.co/xNAlYEacoO,-0.1531,0.0,0.849,0.151,83
@BBCNews,Sat Jun 09 06:59:22 +0000 2018,Birthday Honours 2018: Network Rail boss made CBE amid travel chaos https://t.co/kHWuDHQ9VV,-0.128,0.189,0.592,0.219,84
@BBCNews,Sat Jun 09 06:33:42 +0000 2018,Canadian GP: Fernando Alonso says 'I'm one of F1's best ever' https://t.co/p81nnU1g6j,0.6369,0.276,0.724,0.0,85
@BBCNews,Sat Jun 09 05:50:03 +0000 2018,South Africa v England: Siya Kolisi - the Springboks captain uniting a country https://t.co/QTMak9yU1c,0.0,0.0,1.0,0.0,86
@BBCNews,Sat Jun 09 02:28:36 +0000 2018,Meat traces 'found in supermarket vegetarian meals' https://t.co/SIiQRLgK3Z,0.0,0.0,1.0,0.0,87
@BBCNews,Sat Jun 09 02:07:26 +0000 2018,Maria Esther Bueno: Brazilian star of 1960s women's tennis dies https://t.co/NMc3hai0V5,0.0,0.0,1.0,0.0,88
@BBCNews,Sat Jun 09 01:16:16 +0000 2018,"Boy, 14, charged over string of moped thefts in north London https://t.co/ulne7N3EOv",-0.2023,0.0,0.859,0.141,89
@BBCNews,Sat Jun 09 00:15:31 +0000 2018,Pregnant and anorexic: 'I was told my baby could die' https://t.co/agj4vcYoSS,-0.5994,0.0,0.719,0.281,90
@BBCNews,Sat Jun 09 00:15:31 +0000 2018,US election 2018: The women lining up to topple Trump https://t.co/1kql7F8lMI,0.0,0.0,1.0,0.0,91
@BBCNews,Sat Jun 09 00:15:31 +0000 2018,Week in pictures: 2 - 8 June 2018 https://t.co/Yt5FdlgG0H,0.0,0.0,1.0,0.0,92
@BBCNews,Sat Jun 09 00:15:31 +0000 2018,Barbed wire and smuggled crabs: Watching North Korea from China https://t.co/g1OL6JN7gt,-0.3612,0.0,0.8,0.2,93
@BBCNews,Sat Jun 09 00:15:31 +0000 2018,Anthony Bourdain: Why his travel shows had global appeal https://t.co/0ek8fVzGLJ,0.0,0.0,1.0,0.0,94
@BBCNews,Sat Jun 09 00:15:30 +0000 2018,Trump Kim summit: Who's pulling the strings? https://t.co/MYuBFgLPGc,0.0,0.0,1.0,0.0,95
@BBCNews,Sat Jun 09 00:15:30 +0000 2018,World Cup 2018: Does form matter for teams competing in Russia? https://t.co/eoIaJmbOZU,0.0258,0.091,0.909,0.0,96
@BBCNews,Sat Jun 09 00:15:30 +0000 2018,It's the world's longest non-stop flight... for now https://t.co/ZUUS3UK2Xn,0.0,0.0,1.0,0.0,97
@BBCNews,Sat Jun 09 00:15:30 +0000 2018,Tayyaba abuse case shines light on Pakistan's child maids https://t.co/mL3puqGfC9,-0.6369,0.0,0.682,0.318,98
@BBCNews,Sat Jun 09 00:15:30 +0000 2018,Suffrage centenary: The women getting creative and going on the march https://t.co/EbQCWL2n2I,0.4404,0.209,0.791,0.0,99
@BBCNews,Sat Jun 09 00:08:31 +0000 2018,Why Russian workers are being taught how to smile https://t.co/vY98gixMx9,0.3612,0.217,0.783,0.0,100
@CBSNews,Sun Jun 10 07:03:08 +0000 2018,"Police defend search efforts for NY father, toddler found shot dead in Va. https://t.co/wJqQi7Z5Jd https://t.co/oRvEp5bVc5",-0.6486,0.0,0.765,0.235,1
